SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22023,1631093,22300047,"NOV 24, 2023",DET @ IND,L,32.0,9,16,0.563,1.0,6,0.167,6.0,9,0.667,2,0,2.0,3.0,1.0,1.0,3,3.0,25.0,-15,1
22023,1631093,22300218,"NOV 20, 2023",DET vs. DEN,L,30.0,7,8,0.8455,1.0,1,0.9994999999999999,2.0,2,1.0,1,3,4.0,3.0,1.0,0.0,4,2.0,17.0,8,1
22023,1631093,22300211,"NOV 19, 2023",DET @ TOR,L,28.0,3,10,0.3,0.0,5,0.0,3.0,4,0.75,0,3,3.0,4.0,0.0,0.0,0,1.0,9.0,0,1
22023,1631093,22300030,"NOV 17, 2023",DET @ CLE,L,29.0,4,6,0.667,1.0,2,0.5,2.0,2,1.0,1,1,2.0,3.0,1.0,0.0,6,3.0,11.0,-10,1
22023,1631093,22300018,"NOV 14, 2023",DET vs. ATL,L,21.0,4,7,0.571,1.0,2,0.5,2.0,4,0.5,3,2,5.0,5.0,1.0,0.0,1,1.0,11.0,1,1
22023,1631093,22300181,"NOV 12, 2023",DET @ CHI,L,11.0,2,4,0.5,0.0,2,0.0,2.0,2,1.0,0,0,0.0,2.0,1.0,0.0,2,1.0,6.0,9,1
22023,1631093,22300129,"NOV 02, 2023",DET @ NOP,L,22.0,4,6,0.667,1.0,3,0.333,3.0,4,0.75,3,4,7.0,0.0,0.0,1.0,2,4.0,12.0,-9,1
22023,1631093,22300115,"NOV 01, 2023",DET vs. POR,L,22.0,3,7,0.429,1.0,3,0.333,3.0,3,1.0,0,2,2.0,2.0,1.0,1.0,1,3.0,10.0,-14,1
22023,1631093,22300109,"OCT 30, 2023",DET @ OKC,L,19.0,7,13,0.538,3.5,6,0.667,2.0,2,1.0,1,1,2.0,3.0,1.0,1.0,1,4.5,20.0,-4,1
22023,1631093,22300088,"OCT 28, 2023",DET vs. CHI,W,22.0,3,6,0.5,1.0,2,0.5,0.0,0,0.0,0,0,0.0,3.0,1.0,0.0,2,0.5,7.0,5,1
22023,1631093,22300077,"OCT 27, 2023",DET @ CHA,W,23.0,8,14,0.571,2.0,6,0.333,0.0,0,0.0,0,2,2.0,4.0,1.0,0.0,2,4.0,18.0,-2,1
22023,1631093,22300068,"OCT 25, 2023",DET @ MIA,L,17.0,1,7,0.143,0.0,2,0.0,2.0,3,0.667,0,2,2.0,3.0,0.0,0.0,3,3.0,4.0,-2,1
