SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,SEASON
22023,1630595,22300704,"FEB 04, 2024",DET vs. ORL,L,32,6,14,0.429,1,3,0.333,5,7,0.714,0,5,5,7,2,0,1,2,18,-8,2023-24
22023,1630595,22300688,"FEB 02, 2024",DET vs. LAC,L,33,7,17,0.412,1,3,0.333,1,1,1.0,0,3,3,11,1,0,4,4,16,-11,2023-24
22023,1630595,22300675,"JAN 31, 2024",DET @ CLE,L,31,8,16,0.5,2,4,0.5,1,2,0.5,0,2,2,7,2,1,0,4,19,-22,2023-24
22023,1630595,22300642,"JAN 27, 2024",DET vs. WAS,L,35,7,17,0.412,2,3,0.667,4,6,0.667,0,4,4,12,0,0,7,3,20,-6,2023-24
22023,1630595,22300502,"JAN 07, 2024",DET @ DEN,L,11,1,6,0.167,1,2,0.5,0,0,0.0,0,3,3,3,0,0,0,2,3,-2,2023-24
22023,1630595,22300490,"JAN 05, 2024",DET @ GSW,L,35,13,22,0.591,1,7,0.143,3,3,1.0,0,5,5,3,0,1,2,2,30,-7,2023-24
22023,1630595,22300474,"JAN 03, 2024",DET @ UTA,L,40,12,21,0.571,3,7,0.429,4,5,0.8,0,5,5,13,1,0,6,5,31,-13,2023-24
22023,1630595,22300453,"JAN 01, 2024",DET @ HOU,L,30,3,16,0.188,0,5,0.0,0,1,0.0,0,1,1,10,0,0,4,2,6,-21,2023-24
22023,1630595,22300440,"DEC 30, 2023",DET vs. TOR,W,38,9,20,0.45,2,4,0.5,10,10,1.0,0,3,3,12,1,0,0,4,30,1,2023-24
22023,1630595,22300421,"DEC 28, 2023",DET @ BOS,L,43,12,22,0.545,4,6,0.667,3,4,0.75,1,5,6,9,3,2,6,3,31,4,2023-24
22023,1630595,22300406,"DEC 26, 2023",DET vs. BKN,L,37,15,21,0.714,3,4,0.75,8,10,0.8,1,8,9,5,1,1,3,4,41,5,2023-24
22023,1630595,22300394,"DEC 23, 2023",DET @ BKN,L,33,9,20,0.45,1,5,0.2,3,4,0.75,0,3,3,6,0,0,2,4,22,-5,2023-24
22023,1630595,22300374,"DEC 21, 2023",DET vs. UTA,L,39,10,22,0.455,2,6,0.333,6,7,0.857,1,5,6,10,2,1,6,2,28,1,2023-24
22023,1630595,22300352,"DEC 18, 2023",DET @ ATL,L,44,16,24,0.667,3,5,0.6,8,9,0.889,1,4,5,7,3,1,3,1,43,-2,2023-24
22023,1630595,22300334,"DEC 16, 2023",DET @ MIL,L,31,10,17,0.588,0,2,0.0,5,6,0.833,0,1,1,6,1,0,2,3,25,-13,2023-24
22023,1630595,22300327,"DEC 15, 2023",DET @ PHI,L,24,2,9,0.222,0,2,0.0,0,0,0.0,0,3,3,2,1,1,3,3,4,-32,2023-24
22023,1630595,22300310,"DEC 13, 2023",DET vs. PHI,L,30,5,17,0.294,1,8,0.125,10,12,0.833,1,5,6,7,0,0,1,3,21,-23,2023-24
22023,1630595,22300293,"DEC 11, 2023",DET vs. IND,L,38,11,21,0.524,1,6,0.167,0,0,0.0,0,6,6,7,1,0,3,3,23,-8,2023-24
22023,1630595,22301217,"DEC 08, 2023",DET @ ORL,L,32,8,15,0.533,2,6,0.333,3,4,0.75,1,2,3,6,1,0,3,1,21,-20,2023-24
22023,1630595,22301206,"DEC 06, 2023",DET vs. MEM,L,34,6,14,0.429,1,5,0.2,3,3,1.0,0,4,4,10,2,1,5,2,16,-1,2023-24
22023,1630595,22300283,"DEC 02, 2023",DET vs. CLE,L,37,8,20,0.4,3,6,0.5,4,4,1.0,0,8,8,11,2,0,1,3,23,13,2023-24
22023,1630595,22300268,"NOV 30, 2023",DET @ NYK,L,37,12,20,0.6,4,9,0.444,3,4,0.75,0,2,2,8,2,0,7,2,31,1,2023-24
22023,1630595,22300258,"NOV 29, 2023",DET vs. LAL,L,23,6,15,0.4,2,4,0.5,1,1,1.0,0,4,4,5,1,0,2,1,15,-33,2023-24
22023,1630595,22300253,"NOV 27, 2023",DET vs. WAS,L,32,10,22,0.455,2,7,0.286,4,4,1.0,1,4,5,7,1,0,1,2,26,-12,2023-24
22023,1630595,22300047,"NOV 24, 2023",DET @ IND,L,38,10,26,0.385,2,4,0.5,9,9,1.0,0,3,3,5,0,0,4,0,31,-12,2023-24
22023,1630595,22300218,"NOV 20, 2023",DET vs. DEN,L,38,7,17,0.412,2,4,0.5,11,11,1.0,0,2,2,9,3,1,5,2,27,7,2023-24
22023,1630595,22300211,"NOV 19, 2023",DET @ TOR,L,27,7,17,0.412,3,5,0.6,1,3,0.333,2,3,5,4,0,0,3,2,18,-22,2023-24
22023,1630595,22300030,"NOV 17, 2023",DET @ CLE,L,34,9,21,0.429,2,7,0.286,0,0,0.0,1,4,5,8,0,0,4,4,20,5,2023-24
22023,1630595,22300018,"NOV 14, 2023",DET vs. ATL,L,38,4,14,0.286,1,3,0.333,0,0,0.0,1,2,3,12,3,0,6,3,9,-11,2023-24
22023,1630595,22300181,"NOV 12, 2023",DET @ CHI,L,38,4,15,0.267,0,5,0.0,2,2,1.0,0,3,3,5,0,1,1,4,10,-24,2023-24
22023,1630595,22300008,"NOV 10, 2023",DET vs. PHI,L,36,8,18,0.444,1,5,0.2,4,4,1.0,1,3,4,7,0,0,4,5,21,-5,2023-24
22023,1630595,22300165,"NOV 08, 2023",DET @ MIL,L,39,11,27,0.407,2,8,0.25,9,10,0.9,2,6,8,8,0,0,5,2,33,-8,2023-24
22023,1630595,22300145,"NOV 06, 2023",DET vs. GSW,L,40,7,18,0.389,1,6,0.167,6,7,0.857,0,4,4,5,2,0,5,2,21,-9,2023-24
22023,1630595,22300140,"NOV 05, 2023",DET vs. PHX,L,39,12,24,0.5,0,6,0.0,2,3,0.667,1,2,3,6,0,1,6,2,26,-21,2023-24
22023,1630595,22300129,"NOV 02, 2023",DET @ NOP,L,34,8,22,0.364,2,7,0.286,4,5,0.8,0,2,2,11,1,0,6,4,22,3,2023-24
22023,1630595,22300115,"NOV 01, 2023",DET vs. POR,L,37,11,27,0.407,5,9,0.556,3,3,1.0,0,5,5,4,1,0,6,3,30,-7,2023-24
22023,1630595,22300109,"OCT 30, 2023",DET @ OKC,L,35,5,15,0.333,3,7,0.429,4,5,0.8,0,2,2,5,0,0,7,1,17,-14,2023-24
22023,1630595,22300088,"OCT 28, 2023",DET vs. CHI,W,40,9,19,0.474,1,4,0.25,6,7,0.857,0,4,4,10,0,0,6,3,25,10,2023-24
22023,1630595,22300077,"OCT 27, 2023",DET @ CHA,W,24,4,13,0.308,2,5,0.4,2,2,1.0,1,1,2,6,1,0,5,6,12,7,2023-24
22023,1630595,22300068,"OCT 25, 2023",DET @ MIA,L,36,13,27,0.481,4,9,0.444,0,0,0.0,0,3,3,9,1,1,3,5,30,-2,2023-24
22024,1630595,22400418,"DEC 26, 2024",DET @ SAC,W,38,9,24,0.375,4,11,0.364,11,12,0.917,0,4,4,10,0,0,3,4,33,8,2024-25
22024,1630595,22400404,"DEC 23, 2024",DET @ LAL,W,35,9,25,0.36,0,5,0.0,2,2,1.0,2,3,5,10,1,0,5,2,20,-11,2024-25
22024,1630595,22400387,"DEC 21, 2024",DET @ PHX,W,36,9,19,0.474,3,8,0.375,7,9,0.778,0,1,1,13,2,2,4,4,28,7,2024-25
22024,1630595,22400360,"DEC 19, 2024",DET vs. UTA,L,39,13,23,0.565,3,8,0.375,4,4,1.0,0,4,4,7,1,4,4,6,33,-4,2024-25
22024,1630595,22401221,"DEC 16, 2024",DET vs. MIA,W,42,7,17,0.412,3,6,0.5,3,5,0.6,1,10,11,18,0,1,4,2,20,9,2024-25
22024,1630595,22401205,"DEC 12, 2024",DET @ BOS,L,35,9,22,0.409,0,4,0.0,0,0,0.0,1,7,8,8,0,1,3,1,18,-19,2024-25
22024,1630595,22400343,"DEC 07, 2024",DET @ NYK,W,35,9,17,0.529,5,8,0.625,6,7,0.857,2,8,10,15,1,0,3,4,29,17,2024-25
22024,1630595,22400319,"DEC 04, 2024",DET @ BOS,L,34,11,21,0.524,3,9,0.333,2,2,1.0,2,7,9,14,0,1,6,5,27,-7,2024-25
22024,1630595,22400052,"DEC 03, 2024",DET vs. MIL,L,33,9,16,0.563,3,6,0.5,2,6,0.333,1,4,5,6,1,0,4,2,23,-20,2024-25
